subjid,group,food,taste_rating,health_rating
sub-FCT004,HC,sour patch.jpg,5.0,1.0
sub-FCT004,HC,Whole milk.jpg,5.0,4.0
sub-FCT004,HC,broccoli cauliflower.jpg,5.0,5.0
sub-FCT004,HC,baked potato.jpg,5.0,4.0
sub-FCT004,HC,green beans.jpg,5.0,5.0
sub-FCT004,HC,string cheese.jpg,5.0,3.0
sub-FCT004,HC,corn cob.jpg,5.0,5.0
sub-FCT004,HC,baby cheese.jpg,3.0,5.0
sub-FCT004,HC,american cheese.jpg,5.0,2.0
sub-FCT004,HC,soup with spoon.jpg,5.0,3.0
sub-FCT004,HC,sushi w_condiments.jpg,5.0,3.0
sub-FCT004,HC,mini muffins.jpg,3.0,3.0
sub-FCT004,HC,seaweed.jpg,5.0,4.0
sub-FCT004,HC,mozarella sticks.jpg,5.0,2.0
sub-FCT004,HC,cookies.jpg,5.0,2.0
sub-FCT004,HC,steak.jpg,1.0,1.0
sub-FCT004,HC,granola w milk.jpg,3.0,5.0
sub-FCT004,HC,soy chips.jpg,4.0,4.0
sub-FCT004,HC,1%milk.jpg,3.0,5.0
sub-FCT004,HC,rice cakes.jpg,5.0,5.0
sub-FCT004,HC,yogurt pretzels.jpg,5.0,2.0
sub-FCT004,HC,Cheese nachos.jpg,5.0,1.0
sub-FCT004,HC,chicken nuggets2.jpg,5.0,3.0
sub-FCT004,HC,cherry tomato.jpg,5.0,5.0
sub-FCT004,HC,Pretzels.jpg,4.0,2.0
sub-FCT004,HC,grilled cheese.jpg,5.0,1.0
sub-FCT004,HC,Hershey Kisses.jpg,5.0,1.0
sub-FCT004,HC,Tribe humus pita.jpg,2.0,5.0
sub-FCT004,HC,rigatoni.jpg,5.0,3.0
sub-FCT004,HC,m_and_m.jpg,4.0,
sub-FCT004,HC,mashed potato.jpg,5.0,3.0
sub-FCT004,HC,avacado.jpg,5.0,5.0
sub-FCT004,HC,ice cream sundae 002.jpg,5.0,2.0
sub-FCT004,HC,rigatoni and sauce.jpg,5.0,1.0
sub-FCT004,HC,bagel and cc.jpg,5.0,3.0
sub-FCT004,HC,peaches.jpg,5.0,5.0
sub-FCT004,HC,eggs.jpg,,5.0
sub-FCT004,HC,reeses.jpg,5.0,1.0
sub-FCT004,HC,cherries.jpg,5.0,5.0
sub-FCT004,HC,ritz.jpg,5.0,3.0
sub-FCT004,HC,salad w chicken.jpg,4.0,5.0
sub-FCT004,HC,air popcorn.jpg,4.0,5.0
sub-FCT004,HC,raisin bran w milk.jpg,2.0,5.0
sub-FCT004,HC,yogurt no spoon.jpg,1.0,
sub-FCT004,HC,yellow popcorn.jpg,5.0,1.0
sub-FCT004,HC,pizza.jpg,5.0,1.0
sub-FCT004,HC,strawberries.jpg,5.0,5.0
sub-FCT004,HC,french fries.jpg,5.0,1.0
sub-FCT004,HC,bagel plain.jpg,5.0,3.0
sub-FCT004,HC,tacos.jpg,5.0,5.0
sub-FCT004,HC,Skim milk.jpg,5.0,5.0
sub-FCT004,HC,hotdog w must.jpg,1.0,1.0
sub-FCT004,HC,pickles.jpg,5.0,3.0
sub-FCT004,HC,apple slices.jpg,5.0,5.0
sub-FCT004,HC,banana.jpg,4.0,5.0
sub-FCT004,HC,lollipops.jpg,5.0,1.0
sub-FCT004,HC,brownie.jpg,4.0,1.0
sub-FCT004,HC,trail mix.jpg,1.0,5.0
sub-FCT004,HC,fried eggs.jpg,3.0,4.0
sub-FCT004,HC,celery and carrot sticks.jpg,5.0,5.0
sub-FCT004,HC,saltines.jpg,5.0,5.0
sub-FCT004,HC,cupcakes am.jpg,,3.0
sub-FCT005,HC,m_and_m.jpg,5.0,1.0
sub-FCT005,HC,yogurt pretzels.jpg,3.0,2.0
sub-FCT005,HC,mozarella sticks.jpg,2.0,1.0
sub-FCT005,HC,yogurt no spoon.jpg,4.0,5.0
sub-FCT005,HC,corn cob.jpg,4.0,5.0
sub-FCT005,HC,1%milk.jpg,5.0,4.0
sub-FCT005,HC,reeses.jpg,5.0,1.0
sub-FCT005,HC,kiwi.jpg,5.0,5.0
sub-FCT005,HC,orange slices.jpg,5.0,5.0
sub-FCT005,HC,baby cheese.jpg,4.0,3.0
sub-FCT005,HC,Tribe humus pita.jpg,5.0,3.0
sub-FCT005,HC,rigatoni and sauce.jpg,3.0,3.0
sub-FCT005,HC,Cheese nachos.jpg,2.0,1.0
sub-FCT005,HC,bagel plain.jpg,4.0,3.0
sub-FCT005,HC,burger.jpg,5.0,2.0
sub-FCT005,HC,air popcorn.jpg,3.0,4.0
sub-FCT005,HC,string cheese.jpg,3.0,3.0
sub-FCT005,HC,celery and carrot sticks.jpg,3.0,5.0
