subjid,group,ref_food,alt_food,choice_rating
sub-FCT002,HC,string cheese.jpg,pickles.jpg,1
sub-FCT002,HC,string cheese.jpg,corn cob.jpg,4
sub-FCT002,HC,string cheese.jpg,salad w chicken.jpg,4
sub-FCT002,HC,string cheese.jpg,strawberries.jpg,4
sub-FCT002,HC,string cheese.jpg,soy chips.jpg,2
sub-FCT002,HC,string cheese.jpg,kiwi.jpg,2
sub-FCT002,HC,string cheese.jpg,m_and_m.jpg,4
sub-FCT002,HC,string cheese.jpg,mini muffins.jpg,2
sub-FCT002,HC,string cheese.jpg,brownie.jpg,5
sub-FCT002,HC,string cheese.jpg,steak.jpg,5
sub-FCT002,HC,string cheese.jpg,1%milk.jpg,4
sub-FCT002,HC,string cheese.jpg,raisin bran w milk.jpg,4
sub-FCT002,HC,string cheese.jpg,sushi w_condiments.jpg,2
sub-FCT002,HC,string cheese.jpg,rice cakes.jpg,4
sub-FCT002,HC,string cheese.jpg,yogurt no spoon.jpg,4
sub-FCT002,HC,string cheese.jpg,yogurt pretzels.jpg,5
sub-FCT003,HC,bagel plain.jpg,strawberries.jpg,5
sub-FCT003,HC,bagel plain.jpg,soup with spoon.jpg,4
sub-FCT003,HC,bagel plain.jpg,Hershey Kisses.jpg,4
sub-FCT003,HC,bagel plain.jpg,Pretzels.jpg,5
sub-FCT003,HC,bagel plain.jpg,american cheese.jpg,4
sub-FCT003,HC,bagel plain.jpg,green beans.jpg,2
sub-FCT003,HC,bagel plain.jpg,raisin bran w milk.jpg,5
sub-FCT003,HC,bagel plain.jpg,Grapes.jpg,5
sub-FCT003,HC,bagel plain.jpg,raisins.jpg,2
sub-FCT003,HC,bagel plain.jpg,rigatoni.jpg,4
sub-FCT003,HC,bagel plain.jpg,fried eggs.jpg,2
sub-FCT003,HC,bagel plain.jpg,salad w chicken.jpg,5
sub-FCT003,HC,bagel plain.jpg,grilled chicken strips.jpg,5
sub-FCT003,HC,bagel plain.jpg,grilled cheese.jpg,4
sub-FCT003,HC,bagel plain.jpg,Tribe humus pita.jpg,5
sub-FCT003,HC,bagel plain.jpg,air popcorn.jpg,5
sub-FCT003,HC,bagel plain.jpg,baked potato.jpg,1
sub-FCT003,HC,bagel plain.jpg,banana.jpg,5
sub-FCT003,HC,bagel plain.jpg,yogurt no spoon.jpg,5
sub-FCT003,HC,bagel plain.jpg,avacado.jpg,4
sub-FCT003,HC,bagel plain.jpg,mashed potato.jpg,5
sub-FCT003,HC,bagel plain.jpg,celery and carrot sticks.jpg,1
sub-FCT003,HC,bagel plain.jpg,sushi w_condiments.jpg,5
sub-FCT003,HC,bagel plain.jpg,kiwi.jpg,4
sub-FCT003,HC,bagel plain.jpg,trail mix.jpg,4
sub-FCT003,HC,bagel plain.jpg,eggs.jpg,2
sub-FCT003,HC,bagel plain.jpg,ice cream sundae 002.jpg,2
sub-FCT003,HC,bagel plain.jpg,PB.jpg,4
sub-FCT003,HC,bagel plain.jpg,rice cakes.jpg,5
sub-FCT003,HC,bagel plain.jpg,yogurt pretzels.jpg,5
sub-FCT003,HC,bagel plain.jpg,pizza.jpg,5
sub-FCT003,HC,bagel plain.jpg,mini muffins.jpg,4
sub-FCT003,HC,bagel plain.jpg,peaches.jpg,5
sub-FCT003,HC,bagel plain.jpg,hotdog w must.jpg,5
sub-FCT003,HC,bagel plain.jpg,doughnuts.jpg,4
sub-FCT003,HC,bagel plain.jpg,burger.jpg,5
sub-FCT003,HC,bagel plain.jpg,cupcakes am.jpg,2
sub-FCT003,HC,bagel plain.jpg,tacos.jpg,5
sub-FCT003,HC,bagel plain.jpg,1%milk.jpg,2
sub-FCT003,HC,bagel plain.jpg,baby cheese.jpg,2
sub-FCT003,HC,bagel plain.jpg,granola w milk.jpg,5
sub-FCT003,HC,bagel plain.jpg,bagel and cc.jpg,5
sub-FCT003,HC,bagel plain.jpg,lollipops.jpg,2
sub-FCT003,HC,bagel plain.jpg,french fries.jpg,5
sub-FCT003,HC,bagel plain.jpg,brownie.jpg,4
sub-FCT003,HC,bagel plain.jpg,soy chips.jpg,5
sub-FCT003,HC,bagel plain.jpg,rigatoni and sauce.jpg,2
sub-FCT003,HC,bagel plain.jpg,steak.jpg,4
sub-FCT003,HC,bagel plain.jpg,sour patch.jpg,5
sub-FCT003,HC,bagel plain.jpg,corn cob.jpg,5
sub-FCT003,HC,bagel plain.jpg,cucumber slices.jpg,2
sub-FCT003,HC,bagel plain.jpg,Skim milk.jpg,2
sub-FCT003,HC,bagel plain.jpg,mac & cheese.jpg,4
sub-FCT003,HC,bagel plain.jpg,orange slices.jpg,5
sub-FCT003,HC,bagel plain.jpg,cherry tomato.jpg,2
sub-FCT003,HC,bagel plain.jpg,Whole milk.jpg,2
sub-FCT003,HC,bagel plain.jpg,apple slices.jpg,5
sub-FCT003,HC,bagel plain.jpg,reeses.jpg,5
sub-FCT003,HC,bagel plain.jpg,seaweed.jpg,1
sub-FCT003,HC,bagel plain.jpg,mozarella sticks.jpg,4
sub-FCT003,HC,bagel plain.jpg,broccoli cauliflower.jpg,2
sub-FCT003,HC,bagel plain.jpg,Cheese nachos.jpg,5
sub-FCT003,HC,bagel plain.jpg,chicken nuggets2.jpg,2
sub-FCT003,HC,bagel plain.jpg,mushrooms.jpg,2
sub-FCT003,HC,bagel plain.jpg,turkey sandwich.jpg,5
sub-FCT003,HC,bagel plain.jpg,yellow popcorn.jpg,5
sub-FCT003,HC,bagel plain.jpg,string cheese.jpg,5
sub-FCT003,HC,bagel plain.jpg,m_and_m.jpg,5
sub-FCT003,HC,bagel plain.jpg,cherries.jpg,5
sub-FCT003,HC,bagel plain.jpg,ritz.jpg,4
sub-FCT003,HC,bagel plain.jpg,pickles.jpg,5
sub-FCT003,HC,bagel plain.jpg,saltines.jpg,3
sub-FCT003,HC,bagel plain.jpg,froot loops w milk.jpg,5
sub-FCT003,HC,bagel plain.jpg,baguette oil.jpg,4
sub-FCT003,HC,bagel plain.jpg,cookies.jpg,4
sub-FCT004,HC,mini muffins.jpg,orange slices.jpg,5
sub-FCT004,HC,mini muffins.jpg,mushrooms.jpg,5
sub-FCT004,HC,mini muffins.jpg,rigatoni and sauce.jpg,5
sub-FCT004,HC,mini muffins.jpg,turkey sandwich.jpg,5
sub-FCT004,HC,mini muffins.jpg,PB.jpg,1
sub-FCT004,HC,mini muffins.jpg,Whole milk.jpg,5
sub-FCT004,HC,mini muffins.jpg,doughnuts.jpg,5
sub-FCT004,HC,mini muffins.jpg,Tribe humus pita.jpg,1
sub-FCT004,HC,mini muffins.jpg,fried eggs.jpg,5
sub-FCT004,HC,mini muffins.jpg,Hershey Kisses.jpg,5
sub-FCT004,HC,mini muffins.jpg,celery and carrot sticks.jpg,5
sub-FCT004,HC,mini muffins.jpg,grilled cheese.jpg,5
sub-FCT004,HC,mini muffins.jpg,peaches.jpg,5
sub-FCT004,HC,mini muffins.jpg,trail mix.jpg,1
sub-FCT004,HC,mini muffins.jpg,apple slices.jpg,5
sub-FCT004,HC,mini muffins.jpg,sour patch.jpg,5
sub-FCT004,HC,mini muffins.jpg,baked potato.jpg,5
sub-FCT004,HC,mini muffins.jpg,mashed potato.jpg,5
sub-FCT004,HC,mini muffins.jpg,american cheese.jpg,5
sub-FCT004,HC,mini muffins.jpg,cookies.jpg,5
sub-FCT004,HC,mini muffins.jpg,grilled chicken strips.jpg,5
sub-FCT004,HC,mini muffins.jpg,mozarella sticks.jpg,5
sub-FCT004,HC,mini muffins.jpg,banana.jpg,5
sub-FCT004,HC,mini muffins.jpg,tacos.jpg,5
sub-FCT004,HC,mini muffins.jpg,air popcorn.jpg,5
sub-FCT004,HC,mini muffins.jpg,bagel plain.jpg,5
sub-FCT004,HC,mini muffins.jpg,cherry tomato.jpg,5
sub-FCT004,HC,mini muffins.jpg,chicken nuggets2.jpg,5
sub-FCT004,HC,mini muffins.jpg,pizza.jpg,5
sub-FCT004,HC,mini muffins.jpg,Cheese nachos.jpg,5
sub-FCT004,HC,mini muffins.jpg,french fries.jpg,5
sub-FCT004,HC,mini muffins.jpg,soup with spoon.jpg,5
sub-FCT004,HC,mini muffins.jpg,reeses.jpg,5
sub-FCT004,HC,mini muffins.jpg,baby cheese.jpg,5
